PFCv2 Primary,PFCv2 Detailed,PFCv2 Description,PFCv1 Primary,PFCv1 Detailed,PFCv1 Description
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_EWA,Early wage access disbursements from integrated payroll providers.,,,
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_MORTGAGE,Mortgage loan disbursements,,,
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_PERSONAL,"Personal loan disbursements, including both secured and unsecured loans.",,,
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_STUDENT,Student loan disbursements.,,,
LOAN_DISBURSEMENTS,LOAN_DISBURSEMENTS_OTHER_DISBURSEMENT,Other miscellaneous loan disbursements,TRANSFER_IN,TRANSFER_IN_CASH_ADVANCES_AND_LOANS,Loans and cash advances deposited into a bank account
LOAN_PAYMENTS,LOAN_PAYMENTS_BNPL,"Loan payments for buy now, pay later (BNPL) services.",,,
LOAN_PAYMENTS,LOAN_PAYMENTS_CAR_PAYMENT,Payments on car loans and leases.,LOAN_PAYMENTS,LOAN_PAYMENTS_CAR_PAYMENT,Payments on car loans and leases.
LOAN_PAYMENTS,LOAN_PAYMENTS_CASH_ADVANCES,Loan payments for cash advances.,,,
LOAN_PAYMENTS,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,Payments made to a credit card account.,LOAN_PAYMENTS,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,Payments made to a credit card account.
LOAN_PAYMENTS,LOAN_PAYMENTS_EWA,Loan payments for early wage access from integrated payroll providers.,,,
LOAN_PAYMENTS,LOAN_PAYMENTS_MORTGAGE_PAYMENT,Payments on mortgages,LOAN_PAYMENTS,LOAN_PAYMENTS_MORTGAGE_PAYMENT,Payments on mortgages
LOAN_PAYMENTS,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,Payments on personal loans.,LOAN_PAYMENTS,LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,"Personal loans, including cash advances and buy now pay later repayments."
LOAN_PAYMENTS,LOAN_PAYMENTS_STUDENT_LOAN_PAYMENT,"Payments on student loans. For college tuition, refer to ""General Services - Education""",LOAN_PAYMENTS,LOAN_PAYMENTS_STUDENT_LOAN_PAYMENT,"Payments on student loans. For college tuition, refer to ""General Services - Education"""
LOAN_PAYMENTS,LOAN_PAYMENTS_OTHER_PAYMENT,Other miscellaneous debt payments,LOAN_PAYMENTS,LOAN_PAYMENTS_OTHER_PAYMENT,Other miscellaneous debt payments
TRANSFER_IN,TRANSFER_IN_ACCOUNT_TRANSFER,General inbound transfers from another account,TRANSFER_IN,TRANSFER_IN_ACCOUNT_TRANSFER,General inbound transfers from another account
TRANSFER_IN,TRANSFER_IN_DEPOSIT,"Cash, checks, and ATM deposits into a bank account",TRANSFER_IN,TRANSFER_IN_DEPOSIT,"Cash, checks, and ATM deposits into a bank account"
TRANSFER_IN,TRANSFER_IN_INVESTMENT_AND_RETIREMENT_FUNDS,Money transferred into the account from an investment or retirement account,TRANSFER_IN,TRANSFER_IN_INVESTMENT_AND_RETIREMENT_FUNDS,Inbound transfers to an investment or retirement account
TRANSFER_IN,TRANSFER_IN_SAVINGS,Inbound transfers to a savings account,TRANSFER_IN,TRANSFER_IN_SAVINGS,Inbound transfers to a savings account
TRANSFER_IN,TRANSFER_IN_TRANSFER_IN_FROM_APPS,Money transferred into the account from another application,,,
TRANSFER_IN,TRANSFER_IN_WIRE,Money transferred into the account from a wire transfer from another bank,,,
TRANSFER_IN,TRANSFER_IN_OTHER_TRANSFER_IN,Other miscellaneous inbound transactions,TRANSFER_IN,TRANSFER_IN_OTHER_TRANSFER_IN,Other miscellaneous inbound transactions
TRANSFER_OUT,TRANSFER_OUT_ACCOUNT_TRANSFER,General outbound transfers to another account,TRANSFER_OUT,TRANSFER_OUT_ACCOUNT_TRANSFER,General outbound transfers to another account
TRANSFER_OUT,TRANSFER_OUT_CRYPTO,Outbound transfers of cryptocurrency,,,
TRANSFER_OUT,TRANSFER_OUT_INVESTMENT_AND_RETIREMENT_FUNDS,"Transfers to an investment or retirement account, including investment apps such as Acorns, Betterment",TRANSFER_OUT,TRANSFER_OUT_INVESTMENT_AND_RETIREMENT_FUNDS,"Transfers to an investment or retirement account, including investment apps such as Acorns, Betterment"
TRANSFER_OUT,TRANSFER_OUT_SAVINGS,Outbound transfers to savings accounts,TRANSFER_OUT,TRANSFER_OUT_SAVINGS,Outbound transfers to savings accounts
TRANSFER_OUT,TRANSFER_OUT_TRANSFER_OUT_FROM_APPS,Money transferred out of the account into another application,,,
TRANSFER_OUT,TRANSFER_OUT_WIRE,Money transferred out of the account from a wire transfer to another bank,,,
TRANSFER_OUT,TRANSFER_OUT_WITHDRAWAL,Withdrawals from a bank account,TRANSFER_OUT,TRANSFER_OUT_WITHDRAWAL,Withdrawals from a bank account
TRANSFER_OUT,TRANSFER_OUT_OTHER_TRANSFER_OUT,Other miscellaneous outbound transactions,TRANSFER_OUT,TRANSFER_OUT_OTHER_TRANSFER_OUT,Other miscellaneous outbound transactions
BANK_FEES,BANK_FEES_ATM_FEES,Fees incurred for out-of-network ATMs,BANK_FEES,BANK_FEES_ATM_FEES,Fees incurred for out-of-network ATMs
BANK_FEES,BANK_FEES_INSUFFICIENT_FUNDS,Fees relating to insufficient funds,BANK_FEES,BANK_FEES_INSUFFICIENT_FUNDS,Fees relating to insufficient funds
BANK_FEES,BANK_FEES_INTEREST_CHARGE,Fees incurred for interest on purchases (this excludes cash advance interest fee),BANK_FEES,BANK_FEES_INTEREST_CHARGE,"Fees incurred for interest on purchases, including not-paid-in-full or interest on cash advances"
BANK_FEES,BANK_FEES_FOREIGN_TRANSACTION_FEES,Fees incurred on non-domestic transactions,BANK_FEES,BANK_FEES_FOREIGN_TRANSACTION_FEES,Fees incurred on non-domestic transactions
BANK_FEES,BANK_FEES_OVERDRAFT_FEES,Penalty payment for overdrafts,BANK_FEES,BANK_FEES_OVERDRAFT_FEES,Fees incurred when an account is in overdraft
BANK_FEES,BANK_FEES_LATE_FEES,Penalty payment for late payment,,,
BANK_FEES,BANK_FEES_CASH_ADVANCE,"Fees incurred for withdrawing cash using a credit card, including transaction fees and interest fees.",,,
BANK_FEES,BANK_FEES_OTHER_BANK_FEES,"Other miscellaneous bank fees, including annual fee",BANK_FEES,BANK_FEES_OTHER_BANK_FEES,"Other miscellaneous bank fees, including annual fee"
ENTERTAINMENT,ENTERTAINMENT_CASINOS_AND_GAMBLING,"Gambling, casinos, and sports betting",ENTERTAINMENT,ENTERTAINMENT_CASINOS_AND_GAMBLING,"Gambling, casinos, and sports betting"
ENTERTAINMENT,ENTERTAINMENT_MUSIC_AND_AUDIO,"Digital and in-person music purchases, including music streaming services",ENTERTAINMENT,ENTERTAINMENT_MUSIC_AND_AUDIO,"Digital and in-person music purchases, including music streaming services"
ENTERTAINMENT,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,"Purchases made at sporting events, music venues, concerts, museums, and amusement parks",ENTERTAINMENT,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,"Purchases made at sporting events, music venues, concerts, museums, and amusement parks"
ENTERTAINMENT,ENTERTAINMENT_TV_AND_MOVIES,In home movie streaming services and movie theaters,ENTERTAINMENT,ENTERTAINMENT_TV_AND_MOVIES,In home movie streaming services and movie theaters
ENTERTAINMENT,ENTERTAINMENT_VIDEO_GAMES,Digital and in-person video game purchases,ENTERTAINMENT,ENTERTAINMENT_VIDEO_GAMES,Digital and in-person video game purchases
ENTERTAINMENT,ENTERTAINMENT_OTHER_ENTERTAINMENT,"Other miscellaneous entertainment purchases, including night life and adult entertainment",ENTERTAINMENT,ENTERTAINMENT_OTHER_ENTERTAINMENT,"Other miscellaneous entertainment purchases, including night life and adult entertainment"
FOOD_AND_DRINK,FOOD_AND_DRINK_BEER_WINE_AND_LIQUOR,"Beer, wine, and liquor stores.",FOOD_AND_DRINK,FOOD_AND_DRINK_BEER_WINE_AND_LIQUOR,"Beer, wine, and liquor stores."
FOOD_AND_DRINK,FOOD_AND_DRINK_COFFEE,Purchases at coffee shops or cafes,FOOD_AND_DRINK,FOOD_AND_DRINK_COFFEE,Purchases at coffee shops or cafes
